filter,id,slug,title,href,content_type,content_slug,property_name
Locations,616b34f30559f492a01ad05b,barton-iv,Barton IV,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b2eaea4d25492a01ad05b,base-one,Base One,https://www.starwars.com/films/star-wars-episode-iv-a-new-hope,films,star-wars-episode-iv-a-new-hope,Star Wars: A New Hope (Episode IV)
Locations,616b2eaea4d25492a01ad05b,base-one,Base One,https://www.starwars.com/films/rogue-one,films,rogue-one,Rogue One: A Star Wars Story
Locations,616b2eaea4d25492a01ad05b,base-one,Base One,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b2f26514f5492a01ad05b,batuu,Batuu,,,,
Locations,616b33aaf4f3f492a01ad05b,beggar-s-canyon,Beggar's Canyon,https://www.starwars.com/series/the-book-of-boba-fett,series,the-book-of-boba-fett,The Book of Boba Fett
Locations,616b33aaf4f3f492a01ad05b,beggar-s-canyon,Beggar's Canyon,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b33f0d7acb492a01ad05b,ben-kenobi-s-cave,Ben Kenobi’s cave ,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b22fad00f7492a01ad05b,bespin,Bespin,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Locations,616b22fad00f7492a01ad05b,bespin,Bespin,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Locations,616b3046f2fe2492a01ad05b,black-spire-outpost,Black Spire Outpost,,,,
Locations,616b337f149fa492a01ad05b,boba-fett-s-palace,Boba Fett’s Palace,https://www.starwars.com/series/the-book-of-boba-fett,series,the-book-of-boba-fett,The Book of Boba Fett
Locations,616b317ab25fe492a01ad05b,bogano,Bogano,,,,
Locations,616b334da9787492a01ad05b,bora-vio,Bora Vio,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b314a9e535492a01ad05b,bracca,Bracca,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,61a5131b73197d82dfdabe1e,brendok,Brendok,https://www.starwars.com/series/the-acolyte,series,the-acolyte,The Acolyte
Locations,61a5131db06caca3991e3e4d,brendok-fortress,Brendok fortress,https://www.starwars.com/series/the-acolyte,series,the-acolyte,The Acolyte
Locations,616b2cec33be0492a01ad05b,bright-tree-village,Bright Tree Village,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Locations,61d6639cb33cff2f1cb2fd4c,bunta-tree,Bunta tree,https://www.starwars.com/series/the-acolyte,series,the-acolyte,The Acolyte
Locations,616b2efb7d3f8492a01ad05b,canto-bight,Canto Bight,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b2f62be876492a01ad05b,canto-bight-jail,Canto Bight Jail,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b2f675840a492a01ad05b,canto-casino,Canto Casino,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b2f70a7e06492a01ad05b,cantonica,Cantonica,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b31088ff72492a01ad05b,captain-doza-s-office,Captain Doza's Office,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b37e073d26492a01ad05b,caraad,Caraad,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b258487dd8492a01ad05b,carlac,Carlac,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b258487dd8492a01ad05b,carlac,Carlac,https://www.starwars.com/series/the-acolyte,series,the-acolyte,The Acolyte
Locations,616b30d9da9a0492a01ad05b,castilon,Castilon,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b2eb1cf162492a01ad05b,catacombs-of-cadera,Catacombs of Cadera,https://www.starwars.com/films/rogue-one,films,rogue-one,Rogue One: A Star Wars Story
Locations,616b25862c408492a01ad05b,cato-neimoidia,Cato Neimoidia,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Locations,616b25862c408492a01ad05b,cato-neimoidia,Cato Neimoidia,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b2d62ebe49492a01ad05b,cave-of-evil,Cave of Evil,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Locations,616b2d62ebe49492a01ad05b,cave-of-evil,Cave of Evil,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b31770af5d492a01ad05b,celsor-3,Celsor 3 ,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b2c07bf133492a01ad05b,central-detention-center,Central Detention Center,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b25889932b492a01ad05b,christophsis,Christophsis,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b333ff057c492a01ad05b,cid-s-parlor,Cid's Parlor,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b240a37d42492a01ad05b,cloud-city,Cloud City,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Locations,616b240a37d42492a01ad05b,cloud-city,Cloud City,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Locations,616b30aaeffdd492a01ad05b,colossus,Colossus,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b30c7cd6df492a01ad05b,colossus-marketplace,Colossus Marketplace,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b258e252c2492a01ad05b,concord-dawn,Concord Dawn,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b2591763dc492a01ad05b,concordia,Concordia,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b302365134492a01ad05b,corellia,Corellia,https://www.starwars.com/films/solo,films,solo,Solo: A Star Wars Story
Locations,616b302365134492a01ad05b,corellia,Corellia,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b302365134492a01ad05b,corellia,Corellia,https://www.starwars.com/series/star-wars-ahsoka,series,star-wars-ahsoka,Ahsoka
Locations,616b3021da7ce492a01ad05b,coronet-spaceport,Coronet Spaceport,https://www.starwars.com/films/solo,films,solo,Solo: A Star Wars Story
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
