uuid_character,character_name,appearance,figure_collection_name,accessory_count,exclusive,joint_count,msrp,released,scale_inches,variations recorded,year_imprinted,currency,appearance_type,appearance_name,appearance_year,appearance_link,character_detail_link
05e5771003fc14a0796daf5aadd256ec,Clone Trooper,Revenge Of The Sith,Clone Troopers Of Order 66 4-Pack,1.0,Entertainment Earth,22.0,99.99,2016.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=4846
0b5941bc920c07d78e26fc2838114800,Clone Trooper,Revenge Of The Sith,41st Elite Corps,2.0,Online,14.0,12.99,2019.0,3.75,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=18324
a6355fcb8089eea89a61a539ae78f2d5,Clone Trooper,Revenge Of The Sith,327th Star Corps,6.0,No,14.0,,2008.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=3601
42115c8d38ae4e29ea988dbb5070cc51,Clone Trooper,Revenge Of The Sith,Amazon 4-Pack,2.0,Amazon,22.0,79.99,2015.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=3498
0f4c5cd33c9341a02d0181483c477cee,Clone Trooper,Revenge Of The Sith,41st Elite Corps,2.0,No,14.0,9.99,2013.0,3.75,No,2011.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2107
c87dfc076d2611efeeb250666d096bb4,Clone Trooper,Revenge Of The Sith,212th Attack Battalion,3.0,Amazon,14.0,,2013.0,3.75,No,2012.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2124
341d8eb20dde62cca264ee70c76d01b5,Clone Trooper,Revenge Of The Sith,41st Elite Corps,2.0,No,14.0,9.99,2013.0,3.75,No,2011.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2313
6d19d74357d8e1d7e436475f72bc403e,Clone Trooper Commander,Revenge Of The Sith,Revenge Of The Sith,7.0,No,14.0,6.99,2007.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=22555
52a73f13950fff4bafa74caffd155699,Commander Bacara,Revenge Of The Sith,,0.0,No,0.0,24.99,2025.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30906
56a507a7870bae3c4196a5538b0a3390,Commander Bacara,Revenge Of The Sith,Heroes & Villains,3.0,No,11.0,6.99,2006.0,3.75,No,2004.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=20361
c3bf5a38d8db26ec9f0bcc84672e584b,Commander Bacara,Revenge Of The Sith,Quick-Draw Attack!,3.0,No,11.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1585
b2d0447db73f62421a547cae49c40d62,Commander Bacara,Revenge Of The Sith,Order 66,3.0,No,14.0,,2009.0,3.75,No,2003.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=346
69a7cbbae426fb32580a373f9c28f343,Commander Bacara,Revenge Of The Sith,Battle On Mygeeto,3.0,No,14.0,,2008.0,3.75,No,2003.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=55
a361cd0fb102e40aa78a99bb844c7840,Commander Bly,Revenge Of The Sith,Revenge Of The Sith 4-Pack,6.0,No,13.0,,2011.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=873
1828651d67ae9195b6611c7969f7371f,Commander Bly,Revenge Of The Sith,Battle Gear!,6.0,No,13.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1617
4196cdb1eb1cb0b79a7b3f50c0869bed,Commander Bly,Revenge Of The Sith,Battle Gear!,6.0,No,13.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1618
886efde432ebb70f42d10537a98ea757,Commander Bly,Revenge Of The Sith,Revenge Of The Sith,3.0,No,5.0,,2015.0,3.75,No,2015.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2377
24cb91e7d21e0ca0ee65b8aea3477780,Commander Bly,Revenge Of The Sith,,4.0,No,23.0,19.99,2020.0,6.0,Helmet Variation,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=24677
